央视频道,#genre#
解说火影,http://aldirect.rtmp.huya.com/huyalive/1199512574006-1199512574006-5225679931584806912-2399025271468-10057-A-0-1.m3u8
动漫解说,http://aldirect.rtmp.huya.com/huyalive/94525224-2706361404-11623733721336643584-2671908056-10057-A-0-1.m3u8
成龙历险记,http://aldirect.rtmp.huya.com/backsrc/29169025-2686220626-11537229738510647296-2847699128-10057-A-0-1.m3u8
中华小当家,http://aldirect.rtmp.huya.com/huyalive/29106097-2686804038-11539735473970741248-2777036638-10057-A-1524192214-1.m3u8
Newtv频道,#genre#
Newtv-搏击,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225895/1.m3u8 
Newtv-中国功夫,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225896/1.m3u8 
Newtv-明星大片,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225893/1.m3u8 
Newtv-动作电影,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225879/1.m3u8 
Newtv-炫舞未来,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226699/1.m3u8 
Newtv-潮妈辣婆,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226107/1.m3u8 
Newtv-古装剧场,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225880/1.m3u8 
Newtv-海外剧场,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225881/1.m3u8 
Newtv-家庭剧场,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225882/1.m3u8 
Newtv-健康有约,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225883/1.m3u8 
Newtv-金牌综艺,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225884/1.m3u8 
Newtv-爱情喜剧,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225877/1.m3u8 
Newtv-惊悚悬疑,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225885/1.m3u8 
Newtv-军旅剧场,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225887/1.m3u8 
Newtv-精品体育,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225886/1.m3u8 
Newtv-精品记录,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225888/1.m3u8 
